id,order_id,drugbank_id,name,category,chemical_formula,smiles,description,related_drugs,pharmacodynamics,action_mechanism,protein_binding,metabolism
1,1,DB00001,Lepirudin,"Amino Acids, Peptides, and Proteins, Anticoagulants, Antithrombin Proteins",C287H440N80O111S6,,"Lepirudin is a recombinant hirudin formed by 65 amino acids that acts as a highly specific and direct thrombin inhibitor.[L41539,L41569] Natural hirudin is an endogenous anticoagulant found in _Hirudo medicinalis_ leeches.[L41539] Lepirudin is produced in yeast cells and is identical to natural hirudin except for the absence of sulfate on the tyrosine residue at position 63 and the substitution of leucine for isoleucine at position 1 (N-terminal end).[A246609]     Lepirudin is used as an anticoagulant in patients with heparin-induced thrombocytopenia (HIT), an immune reaction associated with a high risk of thromboembolic complications.[A3, L41539] HIT is caused by the expression of immunoglobulin G (IgG) antibodies that bind to the complex formed by heparin and platelet factor 4. This activates endothelial cells and platelets and enhances the formation of thrombi.[A246609] Bayer ceased the production of lepirudin (Refludan) effective May 31, 2012.[L41574]","Apixaban, Dabigatran etexilate, Dasatinib, Deferasirox, Ursodeoxycholic acid, Glycochenodeoxycholic Acid","Lepirudin is a recombinant hirudin that acts as a highly specific thrombin inhibitor. Its activity is measured by anti-thrombin units (ATUs) that correspond to the amount of lepirudin required to neutralize a unit of the World Health Organization α-thrombin (89/588) standard. The activity of lepirudin is 16,000 ATU/mg.[L41539,L41569] A single molecule of lepirudin binds to a molecule of thrombin, blocking its thrombogenic activity. This drug increases activated partial thromboplastin time (aPTT)  and PT (INR) values in a dose-dependent manner, and its mode of action is independent of antithrombin III.[L41539,L41569] Platelet factor 4 does not inhibit lepirudin.[L41539,L41569]    The pharmacodynamic effect of lepirudin was evaluated by measuring an increase in aPTT. No saturable effect was observed at the highest tested dose (0.5 mg/kg, IV bolus).[L41539] Thrombin time was considered an unsuitable routine test for lepirudin monitoring due to the high values detected (200 seconds) even at low doses.[L41539] The concomitant use of thrombolytic therapy and lepirudin is not recommended due to the high risk of bleeding that may be life-threatening. In patients with a risk of bleeding, a physician should weigh the risks of lepirudin administration against its benefits.  There is also an especially high risk of bleeding in patients who weigh less than 50 kg, and a lower dosage is required. Patients with renal impairment have a higher risk of hemorrhagic adverse events.[L41539]","Lepirudin is a direct thrombin inhibitor used as an anticoagulant in patients for whom heparin is contraindicated.[L41539,A3] Thrombin is a serine protease that participates in the blood-clotting cascade, and it is formed by the cleavage of pro-thrombin. Active thrombin cleaves fibrinogen and generates fibrin monomers that polymerize to form fibrin clots.[A246624]    Lepirudin binds to the catalytic and substrate-binding sites of thrombin, forming a stable, irreversible and non-covalent complex.[A246609] This blocks the protease activity of thrombin and inhibits the coagulation process. Each molecule of lepirudin binds to a single molecule of thrombin,[L41539] and unlike [heparin], it is able to inhibit thrombin in both its clot-bound or free states.[A246609]","In human plasma, the protein binding of lepirudin was approximately 3%.[L41539]","As a polypeptide, lepirudin is expected to be metabolized by the sequential cleavage of amino acids by kidney exoproteases, which have carboxypeptidase and dipeptidase-like activity.[L41539,L41544] The C-terminal cleavage of lepirudin aminoacids (aminoacids 1 to 65) produces four metabolites with anti-thrombotic activity: M1 (aminoacids 1 to 64), M2 (aminoacids 1 to 63), M3 (aminoacids 1 to 62), and M4 (aminoacids 1 to 61).[L41544]"
2,2,DB00002,Cetuximab,"Amino Acids, Peptides, and Proteins, Antibodies, Antibodies, Monoclonal",C6484H10042N1732O2023S36,,"Cetuximab is a recombinant chimeric human/mouse IgG1 monoclonal antibody that competitively binds to epidermal growth factor receptor (EGFR) and competitively inhibits the binding of epidermal growth factor (EGF).[A227973] EGFR is a member of the ErbB family of receptor tyrosine kinases found in both normal and tumour cells; it is responsible for regulating epithelial tissue development and homeostasis.[A228083] EGFR has been implicated in various types of cancer, as it is often overexpressed in malignant cells [A227973] and EGFR overexpression has been linked to more advanced disease and poor prognosis.[A227963] EGFR is often mutated in certain types of cancer and serves as a driver of tumorigenesis.[A228083] _In vitro_, cetuximab was shown to mediate anti-tumour effects in numerous cancer cell lines and human tumour xenografts.[A227963]    Approved by the FDA in February 2004 under the brand name ERBITUX, cetuximab is used for the treatment of head and neck cancer and metastatic, KRAS wild-type colorectal cancer, and metastatic colorectal cancer with a BRAF V600E mutation.[A227963,L39045] It has also been investigated in advanced colorectal cancer, EGFR-expressing non-small cell lung cancer (NSCLC), and unresectable squamous cell skin cancer.[L31418] Cetuximab is administered via intravenous infusion and is used as monotherapy or in combination with other chemotherapies, including platinum agents, radiation therapy, [leucovorin], [fluorouracil], and [irinotecan].[L30448]","Diethylstilbestrol, Chlorotrianisene, Conjugated estrogens, Estrone, Estradiol, Dienestrol","Cetuximab is an anticancer agent that works by inhibiting the growth and survival of epidermal growth factor receptor (EGFR)-expressing tumour cells with high specificity and higher affinity than epidermal growth factor (EGF) and transforming growth factor-alpha (TGF-α), which are natural ligands of EGFR.[L31418] Cetuximab works by inhibiting the growth and survival of EGFR-positive tumours.[A227963] _In vitro_, it promotes antibody-dependent cellular cytotoxicity (ADCC) against certain human tumour types. On the contrary, cetuximab does not exert its anti-tumour effects on human tumour xenografts lacking EGFR expression.[A227963, L30448]    Cetuximab potentiates the cytotoxic effects of chemotherapeutics and radiation therapy when used in combination.[L30448] In human tumour xenograft models in mice, cetuximab and irinotecan synergistically inhibited the growth of orthotopic anaplastic thyroid carcinoma xenografts _in vitro_ and _in vivo_. Cetuximab potentiated the _in vitro_ anti-proliferative and pro-apoptotic effect of irinotecan and achieved 93% _in vivo_ inhibition of tumour growth when combined with irinotecan, compared to 77% and 79% inhibition when cetuximab and irinotecan were used alone, respectively.[A227978]","The epidermal growth factor receptor (EGFR) is a transmembrane glycoprotein and a type I receptor tyrosine kinase expressed on both normal and malignant cells. It has been investigated as a therapeutic target for anticancer treatment, as it is often upregulated in cancer types, including head and neck, colon, and rectal cancers.[L30448] When activated by its ligand, EGFR undergoes a conformational change and dimerization to form homodimers or heterodimers with another member of the ErbB family of receptors. Dimerization of EGFR activates the intracellular tyrosine kinase region of EGFR and promotes autophosphorylation, initiating a series of downstream signalling cascades, including cell differentiation, proliferation, migration, angiogenesis, and apoptosis. This EGFR signalling pathway is often dysregulated in cancer cells, leading to aberrant cell growth and enhanced cell survival.[L31418]    Cetuximab is a monoclonal antibody that binds specifically to the EGFR on both normal and tumour cells to competitively inhibit the binding of epidermal growth factor (EGF) and other ligands that are produced by normal and tumour tissue epithelial cells.[A11, L30448] Upon binding to domain III of EGFR - which is the binding site for its growth factor ligands - cetuximab prevents the receptor from adopting an extended conformation and thereby inhibits EGFR activation, as well as phosphorylation and activation of receptor-associated kinases (MAPK, PI3K/Akt, Jak/Stat).[A11, A228078] Inhibition of the EGFR signalling pathway ultimately leads to inhibition of cell cycle progression, cell survival pathways, and tumour cell motility and invasion.[A227963] Cetuximab also induces cell apoptosis and decreases matrix metalloproteinase and vascular endothelial growth factor (VEGF) production.[A228078, L30448] _In vitro_, cetuximab was shown to inhibit tumour angiogenesis.[A227978] Binding of cetuximab to EGFR also results in internalization of the antibody-receptor complex, leading to an overall downregulation of EGFR expression.[A227973]    K-ras is a small G-protein downstream of EGFR that plays an important role in promoting the EGFR signalling cascade: in some malignant cells, K-ras can acquire activating mutations in exon 2 [L31418] and thus be continuously active regardless of EGFR regulation.[L30448] Since mutant Ras proteins can isolate the pathway from the effect of EGFR, K-Ras mutations can render EGFR inhibitors like cetuximab ineffective in exerting anti-tumour effects.[L30448, L31418] Cetuximab is thus only limited in its use for K-Ras wild-type, EGFR-expressing cancers.[L30448]",There is no information available.,"Like other monoclonal antibodies, cetuximab is expected to undergo lysosomal degradation by the reticuloendothelial system and protein catabolism by a target‐mediated disposition pathway.[A40006]"
3,3,DB00003,Dornase alfa,"Amino Acids, Peptides, and Proteins, Cough and Cold Preparations, Decreased Respiratory Secretion Viscosity",C1321H1999N339O396S9,,"Dornase alfa is a biosynthetic form of human deoxyribunuclease I (DNase I) enzyme. It is produced in genetically modified Chinese hamster ovary (CHO) cells using recombinant DNA technology. The 260-amino acid sequence of dornase alfa is identical to the endogenous human enzyme. Dornase alfa cleaves extracellular DNA to 5´-phosphodinucleotide and 5´-phosphooligonucleotide end products without affecting intracellular DNA. In individuals with cystic fibrosis, extracellular DNA, which is an extremely viscous anion, is released by degenerating leukocytes that accumulate during inflammatory responses to infections. Enzymatic breakdown of this extracellular DNA appears to reduce sputum viscosity and viscoelasticity.",,"Cystic fibrosis (CF) is a disease characterized by the retention of viscous purulent secretions in the airways. These thick secretions contribute both to reduced pulmonary function and to frequent pulmonary infection. Purulent pulmonary secretions of individuals with cystic fibrosis contain very high concentrations of extracellular DNA released by degenerating leukocytes that accumulate in response to these infections. Dornase alfa hydrolyzes the DNA in sputum of CF patients and reduces sputum viscosity and viscoelasticity. The enzyme does not appear to affect sputum in the absence of an inflammatory response to infection, nor does it affect the sputum of healthy individuals.","Dornase alfa is a biosynthetic form of human DNase I. The enzyme is involved in endonucleolytic cleavage of extracellular DNA to 5´-phosphodinucleotide and 5´-phosphooligonucleotide end products. It has no effect on intracellular DNA. Optimal activity is dependent on the presence of divalent cations such as calcium and magnesium. Extracellular DNA is a viscous anionic polymer and its breakdown appears to improve the viscosity and viscoelasticity of purulent sputum of individuals with CF, thus reducing airflow obstruction. Dornase alfa does not seem to have any effect on non-purulent sputum.",,"While no conclusive studies have yet been published, dornase alfa is expected to be metabolized by proteases in biofluids."
4,4,DB00004,Denileukin diftitox,"ADP Ribose Transferases, Amino Acids, Peptides, and Proteins, Antineoplastic Agents",C2560H4042N678O799S17,,A recombinant DNA-derived cytotoxic protein composed of the amino acid sequences for diphtheria toxin fragments A and B (Met 1-Thr 387)-His followed by the sequences for interleukin-2 (IL-2; Ala 1-Thr 133). It is produced in an E. coli expression system.,"Darbepoetin alfa, Erythropoietin, Peginesatide, Methoxy polyethylene glycol-epoetin beta, Lidocaine, Ropivacaine","Denileukin diftitox (Ontak) directs the cytocidal action of diphtheria toxin to cells which express the IL-2 receptor. The human IL-2 receptor exists in three forms, low (CD25), intermediate (CD122/CD132) and high (CD25/CD122/CD132) affinity. Malignant cells expressing one or more of the subunits of the IL-2 receptor are found in certain leukemias and lymphomas including cutaneous T-cell lymphoma (CTCL). Ontak interacts with the high affinity IL-2 receptor on the cell surface and inhibits cellular protein synthesis, resulting in cell death within hours.",Denileukin diftitox binds to the high-affinity IL-2 receptor complex. The IL-2 receptor (Tac) subunit is expressed on activated but not resting lymphocytes. The diphtheria toxin associated with Ontak then selectively kills the IL-2 bearing cells.,,
5,5,DB00005,Etanercept,"Agents reducing cytokine levels, Amino Acids, Peptides, and Proteins, Anti-Inflammatory Agents",C2224H3475N621O698S36,,"Dimeric fusion protein consisting of the extracellular ligand-binding portion of the human 75 kilodalton (p75) tumor necrosis factor receptor (TNFR) linked to the Fc portion of human IgG1.[L14862,A216522] The Fc component of etanercept contains the CH2 domain, the CH3 domain and hinge region, but not the CH1 domain of IgG1. Etanercept is produced by recombinant DNA technology in a Chinese hamster ovary (CHO) mammalian cell expression system. It consists of 934 amino acids. It is used to treat or manage a variety of inflammatory conditions including rheumatoid arthritis (RA), ankylosing spondylitis (AS), and juvenile idiopathic poly-articular arthritis (JIA).","Belimumab, Cyclophosphamide, Denosumab, Infliximab, Peginterferon alfa-2a, Interferon alfa-n1","Etanercept binds specifically to tumor necrosis factor (TNF) and thereby modulates biological processes that are induced or regulated by TNF.[L14862,A216522] Such processes or molecules affected include the level of adhesion molecules expressed, as well as serum levels of cytokines and matrix metalloproteinases.","There are two distinct receptors for TNF (TNFRs), a 55 kilodalton protein (p55) and a 75 kilodalton protein (p75). The biological activity of TNF is dependent upon binding to either cell surface receptor (p75 or p55).[A216522] Etanercept is a dimeric soluble form of the p75 TNF receptor that can bind to two TNF molecules, thereby effectively removing them from circulation. Notably, etancerpt is only capable of binding to the active trimeric form of TNF as its binding site is located in the cleft between subunits.[A77626]TNF is a naturally occurring cytokine that is involved in normal inflammatory and immune responses.[A216522] Increased levels of TNF are found in tissues and fluids of those with rheumatoid arthritis, psoriatic arthritis, ankylosing spondylitis, and plaque psoriasis.",No significant protein binding has been identified.,"As etanercept is a fusion protein antibody, it is assumed to be metabolized via proteinases similarly to endogenous proteins."
6,6,DB00006,Bivalirudin,"Amino Acids, Peptides, and Proteins, Anticoagulants, Antithrombins",,CC[C@H](C)[C@H](NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CC(O)=O)NC(=O)CNC(=O)[C@H](CC(N)=O)NC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(N)=N)NC(=O)[C@@H]1CCCN1C(=O)[C@H](N)CC1=CC=CC=C1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CC1=CC=C(O)C=C1)C(=O)N[C@@H](CC(C)C)C(O)=O,"Bivalirudin is a synthetic 20 residue peptide (thrombin inhibitor) which reversibly inhibits thrombin. Once bound to the active site, thrombin cannot activate fibrinogen into fibrin, the crucial step in the formation of thrombus. It is administered intravenously. Because it can cause blood stagnation, it is important to monitor changes in hematocrit, activated partial thromboplastin time, international normalized ratio and blood pressure.","Apixaban, Dabigatran etexilate, Dasatinib, Deferasirox, Ursodeoxycholic acid, Glycochenodeoxycholic Acid",Bivalirudin mediates an inhibitory action on thrombin by directly and specifically binding to both the catalytic site and anion-binding exosite of circulating and clot-bound thrombin. The action of bivalirudin is reversible because thrombin will slowly cleave the thrombin-bivalirudin bond which recovers the active site of thrombin.,"Inhibits the action of thrombin by binding both to its catalytic site and to its anion-binding exosite. Thrombin is a serine proteinase that plays a central role in the thrombotic process, acting to cleave fibrinogen into fibrin monomers and to activate Factor XIII to Factor XIIIa, allowing fibrin to develop a covalently cross-linked framework which stabilizes the thrombus; thrombin also activates Factors V and VIII, promoting further thrombin generation, and activates platelets, stimulating aggregation and granule release.","Other than thrombin and red blood cells, bivalirudin does not bind to plasma proteins.",80% proteolytic cleavage
7,7,DB00007,Leuprolide,"Adrenal Cortex Hormones, Agents Causing Muscle Toxicity, Amino Acids, Peptides, and Proteins",,CCNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(N)=N)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CNC2=C1C=CC=C2)NC(=O)[C@H](CC1=CNC=N1)NC(=O)[C@@H]1CCC(=O)N1,"Leuprolide is a synthetic 9-residue peptide analogue of gonadotropin-releasing hormone (GnRH). Unlike the endogenous decapeptide GnRH, leuprolide contains a single D-amino acid (D-leucyl) residue, which helps to increase its circulating half-life from three to four minutes to approximately three hours.[A203222] As a GnRH mimic, leuprolide is capable of binding to the GnRH receptor (GnRHR) and inducing downstream modulation of both gonadotropin hormone and sex steroid levels. Prolonged activation of GnRHR results in significant downregulation of sex steroid levels, which is primarily responsible for the clinical efficacy of leuprolide in diverse conditions, including advanced prostate cancer, endometriosis, and central precocious puberty.[A203126, A203132]    Leuprolide was first approved in 1985 as a daily subcutaneous injection under the tradename Lupron™ by Abbvie Endocrine Inc.[L13850] Since this initial approval, various long-acting intramuscular and subcutaneous products have been developed such that patients can be dosed once every six months.[L13781, L13790] Leuprolide remains frontline therapy in all conditions for which it is indicated for use.","Corifollitropin alfa, Ivabradine, Choline C 11, Capromab pendetide, Insulin human, Insulin lispro","Leuprolide is a gonadotropin-releasing hormone (GnRH) analogue that functions as a GnRH receptor superagonist.[A203132, A203222] After an initial spike in GnRH-mediated steroidal production, including testosterone and estradiol, prolonged use results in a significant drop in circulating steroid levels, in line with those produced through other forms of androgen-deprivation therapy (ADT).[A203126, A203129, A203132] The corresponding hormonal/steroidal changes produce specific adverse effects in different patient populations.    In women undergoing treatment for endometriosis or uterine leiomyomata, careful consideration regarding pregnancy status is advised. The initial increase in estradiol levels may worsen symptoms such as pain and bleeding. Long-term use of leuprolide is associated with loss of bone mineral density. Patients co-administered with [norethisterone] may experience sudden vision loss, proptosis, diplopia, migraine, thrombophlebitis, and pulmonary embolism and may also be at higher risk of cardiovascular disease. Patients with a history of depression may experience severe recurrence of depressive symptoms.[L10310, L13814]    In men undergoing palliative treatment for advanced/metastatic prostate cancer, short-term spikes in testosterone levels may cause tumour flare and associated symptoms such as bone pain, hematuria, neuropathy, bladder and/or ureteral obstruction, and spinal cord compression. In addition, patients are at increased risk of developing hyperglycemia, diabetes, and cardiovascular disease, which may manifest through myocardial infarction, stroke, cardiac death, or prolonged QT/QTc interval. In addition, Leuprolide may cause convulsions and embryo-fetal toxicity.[L13781, L13790]    In pediatric patients undergoing treatment for central precocious puberty (CPP), the initial steroidal spike may be associated with increased clinical signs of puberty within 2-4 weeks of treatment initiation. In addition, leuprolide may cause convulsions and psychiatric symptoms, including irritability, impatience, aggression, anger, and crying.[L13784, L13787]","Gonadotropin-releasing hormone (GnRH) is a naturally occurring decapeptide that modulates the hypothalamic-pituitary-gonadal (HPG) axis. GnRH binds to corresponding receptors (GnRHRs) on the anterior pituitary gonadotropes, which in turn release luteinizing hormone (LH) and follicle-stimulating hormone (FSH); these, in turn, affect the downstream synthesis and release of the sex hormones testosterone, dihydrotestosterone, estrone, and estradiol.[A203126, A203132]    Despite the variety of conditions indicated for treatment with leuprolide, the mechanism of action underlying efficacy is the same in all cases. As a GnRHR agonist, leuprolide binds to and initially activates downstream LH and FSH release; this initial spike in gonadotropin levels is responsible for some of the adverse effects associated with treatment. After 2-4 weeks of treatment, continuous stimulation of GnRHR results in feedback inhibition and significant downregulation of LH, FSH, and their corresponding downstream effects, producing a therapeutic benefit. These effects are reversible upon treatment discontinuation.[A203126, A203129, A203132, A203222, L10310, L13781, L13784, L13787, L13790, L13814]","Leuprolide displays _in vitro_ binding to human plasma proteins between 43% and 49%.[L10310, L13781, L13784, L13787, L13790, L13814, L34415]","Radiolabeling studies suggest that leuprolide is primarily metabolized to inactive penta-, tri-, and dipeptide entities, which are likely further metabolized. It is expected that various peptidases encountered throughout systemic circulation are responsible for leuprolide metabolism.[L10310, L13781, L13784, L13787, L13790, L13814, L34415]"
8,8,DB00008,Peginterferon alfa-2a,"Adjuvants, Immunologic, Alcohols, Alfa Interferons",,,"Peginterferon alfa-2a is a form of recombinant interferon used as part of combination therapy to treat chronic Hepatitis C, an infectious liver disease caused by infection with Hepatitis C Virus (HCV). HCV is a single-stranded RNA virus that is categorized into nine distinct genotypes, with genotype 1 being the most common in the United States, and affecting 72% of all chronic HCV patients [L852]. Treatment options for chronic Hepatitis C have advanced significantly since 2011, with the development of Direct Acting Antivirals (DAAs) resulting in less use of Peginterferon alfa-2a. Peginterferon alfa-2a is derived from the alfa-2a moeity of recombinant human interferon and acts by binding to human type 1 interferon receptors. Activation and dimerization of this receptor induces the body's innate antiviral response by activating the janus kinase/signal transducer and activator of transcription (JAK/STAT) pathway. Use of Peginterferon alfa-2a is associated with a wide range of severe adverse effects including the aggravation and development of endocrine and autoimmune disorders, retinopathies, cardiovascular and neuropsychiatric complications, and increased risk of hepatic decompensation in patients with cirrhosis. The use of Peginterferon alfa-2a has largely declined since newer interferon-free antiviral therapies have been developed.    In a joint recommendation published in 2016, the American Association for the Study of Liver Diseases (AASLD) and the Infectious Diseases Society of America (IDSA) no longer recommend Peginterferon alfa-2a for the treatment of Hepatitis C [A19593]. Peginterferon alfa-2a was used alongside [DB00811] with the intent to cure, or achieve a sustained virologic response (SVR), after 48 weeks of therapy. SVR and eradication of HCV infection is associated with significant long-term health benefits including reduced liver-related damage, improved quality of life, reduced incidence of Hepatocellular Carcinoma, and reduced all-cause mortality [A19626].    Peginterferon alfa-2a is available as a fixed dose injector (tradename Pegasys) used for the treatment of chronic Hepatitis C. Approved in 2002 by the FDA, Pegasys is indicated for the treatment of HCV with [DB00811] or other antiviral drugs [FDA Label]. When combined together, Peginterferon alfa-2a and [DB00811] have been shown to achieve a SVR between 36% for genotype 1 and 59% for genotypes 2-6 after 48 weeks of treatment.","Denosumab, Etanercept, Interferon alfa-n1, Interferon alfa-n3, Peginterferon alfa-2b, Anakinra",Peginterferon alfa-2a induces the body's innate antiviral response [FDA Label].,Peginterferon alfa-2a is derived from recombinant human interferon's alfa-2a moeity [FDA Label]. It binds to and activates human type 1 interferon receptors causing them to dimerize. This activates the JAK/STAT pathway. Activation of the JAK/STAT pathway increases expression of multiple genes in multiple tissues involved in the innate antiviral response.,,
9,9,DB00009,Alteplase,"Agents causing angioedema, Amino Acids, Peptides, and Proteins, Anticoagulants",C2569H3928N746O781S40,,"Alteplase is a recombinant tissue plasminogen activator (rt-PA) used as a thrombolytic agent.[L43125] It cleaves plasminogen to form plasmin, an enzyme involved in the degradation of fibrin clots. In the absence of fibrin, the alteplase-mediated conversion of plasminogen is limited, thanks to the high affinity between alteplase and fibrin.[A252330,L43125] Alteplase is a purified glycoprotein of 527 amino acids expressed in Chinese hamster ovary (CHO) cells.[A252345,L43125] It was first approved by the FDA in 1987 for the management of thromboembolic disease, including acute myocardial infarction (AMI).[A252270] The use of alteplase to manage AMI has decreased thanks to the availability of safer treatments such as angioplasty and stenting. However, its use for the treatment of acute ischemic stroke (AIS) has increased over the years.[A252340] New thrombolytic agents derived from tissue plasminogen activator, such as [desmoteplase], [tenecteplase] and [reteplase], have also been developed.[A252270,A252345] Alteplase is also available as Cathflo Activase (intracatheter instillation) for the restoration of function to central venous access devices.[L34864]","Apixaban, Dabigatran etexilate, Dasatinib, Deferasirox, Ursodeoxycholic acid, Glycochenodeoxycholic Acid","Alteplase binds to fibrin and plasminogen. Alteplase specificity for fibrin is achieved thanks to its high affinity for lysine residues. Also, it can bind plasminogen via loop structures called kringles, stabilized by three disulphide linkages similar to the ones in plasminogen. The specificity of alteplase for plasminogen bound to fibrin allows this drug to act in a clot- or fibrin-specific manner, leading to low concentrations of circulating plasmin and a lower risk of hemorrhagic transformation.[A252270,A252330]     In patients with acute myocardial infarction, alteplase reduces fibrinogen levels 3 to 6 hours after treatment. In patients with acute ischemic stroke, patients treated with alteplase have a significantly higher resolution of hyperdense artery sign, a marker of clot formation in the proximal middle cerebral artery, compared to those treated with placebo.[A252330] The use of alteplase increases the risk of bleeding and thromboembolic events. Rare cases of cholesterol embolism have also been reported.[L43125]","Alteplase is a recombinant tissue plasminogen activator (rt-PA) that converts plasminogen to plasmin in a fibrin-dependent process. In the absence of fibrin, alteplase converts a limited amount of plasminogen. However, in the presence of fibrin clots, alteplase binds to fibrin and cleaves the arginine-valine bond at positions 560 and 561 of plasminogen, converting it into its active form, plasmin. Plasmin in turn degrades the fibrin matrix of the thrombus and promotes clot dissolution.[A252270] Alteplase initiates local fibrinolysis with limited systemic proteolysis.[L43125]",Not available.,"Alteplase is mainly metabolized by the liver. The carbohydrate and polypeptide domains of alteplase interact with hepatic glycoprotein receptors, leading to receptor-mediated endocytosis.[A252270] _In vivo_ studies suggest that alteplase follows zero-order kinetics, meaning that its metabolism is saturable at higher plasma concentrations.[A252270]"
10,10,DB00010,Sermorelin,"Amino Acids, Peptides, and Proteins, Anterior Pituitary Lobe Hormones and Analogues, Diagnostic Agents",C149H246N44O42S,,Sermorelin acetate is the acetate salt of an amidated synthetic 29-amino acid peptide (GRF 1-29 NH 2 ) that corresponds to the amino-terminal segment of the naturally occurring human growth hormone-releasing hormone (GHRH or GRF) consisting of 44 amino acid residues,,Sermorelin is used in the treatment of children with growth hormone deficiency or growth failure. Geref increases plasma growth hormone (GH) concentration by stimulating the pituitary gland to release GH. Geref is similar to the full-length native hormone (44 residues) in its ability to stimulate GH secretion in humans.,Sermorelin binds to the growth hormone releasing hormone receptor and mimics native GRF in its ability to stimulate growth hormone secretion.,,
