drug1	drug2	Label
DB04571	DB00460	1
DB00855	DB00460	1
DB08897	DB00424	2
DB00670	DB06148	2
DB09275	DB00635	3
DB03754	DB00860	3
DB00615	DB01435	4
DB00252	DB00199	4
DB00590	DB06262	5
DB00421	DB00751	5
DB06605	DB00686	6
DB00682	DB01118	6
DB00958	DB00445	7
DB00903	DB00695	7
DB00230	DB01106	8
DB01037	DB00295	8
DB00672	DB01297	9
DB08907	DB01059	9
DB00862	DB01119	10
DB00203	DB09070	10
DB13179	DB09274	11
DB00196	DB00758	11
DB00498	DB00550	12
DB12598	DB04573	12
DB02513	DB00396	13
DB01141	DB00396	13
DB00866	DB00221	14
DB00612	DB05039	14
DB00531	DB06176	15
DB00531	DB06704	15
DB00611	DB00366	16
DB00807	DB06204	16
DB00903	DB00728	17
DB00695	DB00565	17
DB01390	DB06701	18
DB00927	DB00422	18
DB00248	DB01193	19
DB00589	DB00696	19
DB01624	DB06825	20
DB00333	DB09080	20
DB00732	DB01627	21
DB00483	DB00618	21
DB08906	DB00732	22
DB01708	DB01226	22
DB00937	DB00543	23
DB00191	DB00458	23
DB00399	DB00997	24
DB00884	DB06263	24
DB06707	DB00571	25
DB00714	DB00373	25
DB01045	DB06209	26
DB00338	DB00758	26
DB08981	DB04576	27
DB00939	DB00817	27
DB00932	DB04573	28
DB00619	DB00448	28
DB01024	DB00695	29
DB01283	DB00887	29
DB01297	DB00457	30
DB01351	DB00999	30
DB00968	DB09241	31
DB00968	DB09245	31
DB00313	DB00268	32
DB00181	DB00765	32
DB00539	DB00604	33
DB00280	DB09039	33
DB01280	DB08868	34
DB01656	DB08877	34
DB01356	DB00875	35
DB00444	DB00541	35
DB06288	DB00679	36
DB00391	DB06144	36
DB00368	DB00370	37
DB00852	DB09167	37
DB00883	DB00898	38
DB00727	DB06237	38
DB09300	DB09290	39
DB00899	DB09272	39
DB11156	DB03615	40
DB01336	DB06696	40
DB09241	DB00454	41
DB01037	DB00454	41
DB00421	DB00091	42
DB00384	DB00864	42
DB01289	DB01032	43
DB00252	DB01327	43
DB09245	DB00289	44
DB01367	DB00289	44
DB08824	DB00215	45
DB08824	DB01175	45
DB01359	DB06709	46
DB00373	DB06709	46
DB00518	DB12332	47
DB01591	DB01243	47
DB01076	DB09055	48
DB01394	DB01039	48
DB00844	DB00999	49
DB00176	DB01063	49
DB04878	DB00230	50
DB01124	DB00230	50
DB01070	DB01021	51
DB06410	DB00232	51
DB06204	DB00377	52
DB00193	DB00904	52
DB08439	DB01104	53
DB00945	DB06700	53
DB00390	DB00989	54
DB01203	DB08865	54
DB00310	DB00215	55
DB00232	DB00472	55
DB00796	DB01412	56
DB00796	DB00742	56
DB00452	DB00529	57
DB00864	DB00573	57
DB00290	DB01092	58
DB00544	DB00511	58
DB00332	DB00761	59
DB00657	DB00761	59
DB01168	DB00492	60
DB00752	DB01359	60
DB00191	DB09128	61
DB09352	DB00831	61
DB00727	DB01200	62
DB00727	DB00589	62
DB01033	DB00993	63
DB06772	DB00515	63
DB01104	DB09042	64
DB09241	DB09244	64
DB01192	DB06767	65
DB01356	DB01390	65
DB12364	DB13167	66
DB06605	DB13783	66
DB00827	DB11126	67
DB00240	DB00375	67
DB00584	DB00700	68
DB01395	DB12598	68
DB01227	DB01365	69
DB01192	DB01576	69
DB06730	DB04272	70
DB00256	DB09268	70
DB01577	DB00780	71
DB01274	DB00248	71
DB00684	DB01009	72
DB03615	DB00991	72
DB00617	DB09280	73
DB00227	DB00763	73
DB11921	DB01420	74
DB01260	DB08804	74
DB00615	DB00860	75
DB00252	DB08875	75
DB09352	DB00835	76
DB00937	DB00370	76
DB01200	DB06695	77
DB06800	DB06702	77
DB09063	DB09095	78
DB09063	DB09091	78
DB09244	DB00708	79
DB01247	DB00802	79
DB00619	DB09288	80
DB00908	DB01174	80
DB00302	DB00890	81
DB00480	DB01234	81
DB01071	DB06216	82
DB01078	DB13231	82
DB13139	DB00774	83
DB01260	DB00903	83
DB00370	DB00388	84
DB00543	DB00723	84
DB04896	DB00964	85
DB06700	DB00841	85
DB00437	DB00722	86
DB00437	DB00232	86
