drug1	drug2	Label	description
DB04571	DB00460	1	The therapeutic efficacy of Acetohexamide can be increased when used in combination with Trioxsalen.
DB00855	DB00460	1	The risk or severity of methemoglobinemia can be increased when Aminolevulinic acid is combined with Ambroxol.
DB08897	DB00424	2	1,10-Phenanthroline may increase the neuromuscular blocking activities of Aclidinium.
DB00670	DB06148	2	The therapeutic efficacy of Pirenzepine can be decreased when used in combination with 1,10-Phenanthroline.
DB09275	DB00635	3	Acepromazine may increase the neurotoxic activities of Bismuth subcitrate potassium.
DB03754	DB00860	3	The serum concentration of Flecainide can be increased when it is combined with Tromethamine.
DB00615	DB01435	4	The metabolism of (R)-warfarin can be increased when combined with Rifabutin.
DB00252	DB00199	4	The serum concentration of Phenytoin can be decreased when it is combined with (6R)-Folinic acid.
DB00590	DB06262	5	The metabolism of (R)-warfarin can be decreased when combined with Doxazosin.
DB00421	DB00751	5	1-benzylimidazole may decrease the antihypertensive activities of Spironolactone.
DB06605	DB00686	6	(1,2,6,7-3H)Testosterone may increase the anticoagulant activities of Apixaban.
DB00682	DB01118	6	(1,2,6,7-3H)Testosterone may increase the anticoagulant activities of Warfarin.
DB00958	DB00445	7	The risk or severity of bleeding can be increased when (R)-warfarin is combined with Carboplatin.
DB00903	DB00695	7	The protein binding of (R)-warfarin can be decreased when combined with Etacrynic acid.
DB00230	DB01106	8	The therapeutic efficacy of 1,2-Benzodiazepine can be increased when used in combination with Pregabalin.
DB01037	DB00295	8	The risk or severity of bleeding and hemorrhage can be increased when Selegiline is combined with (R)-warfarin.
DB00672	DB01297	9	Chlorpropamide may increase the anticoagulant activities of (R)-warfarin.
DB08907	DB01059	9	Canagliflozin may increase the hypoglycemic activities of 2,4-thiazolidinedione.
DB00862	DB01119	10	The metabolism of (R)-warfarin can be decreased when combined with Vardenafil.
DB00203	DB09070	10	The risk or severity of hemorrhage can be increased when (R)-warfarin is combined with Sildenafil.
DB13179	DB09274	11	The metabolism of (R)-warfarin can be decreased when combined with Troleandomycin.
DB00196	DB00758	11	The serum concentration of (R)-warfarin can be increased when it is combined with Fluconazole.
DB00498	DB00550	12	(1,2,6,7-3H)Testosterone may increase the anticoagulant activities of Phenindione.
DB12598	DB04573	12	(1,2,6,7-3H)Testosterone may increase the anticoagulant activities of Nafamostat.
DB02513	DB00396	13	The therapeutic efficacy of (R)-warfarin can be increased when used in combination with Thymol.
DB01141	DB00396	13	The therapeutic efficacy of (R)-warfarin can be increased when used in combination with Micafungin.
DB00866	DB00221	14	The risk or severity of adverse effects can be increased when Alprenolol is combined with (R)-warfarin.
DB00612	DB05039	14	1-benzylimidazole may decrease the antihypertensive activities of Bisoprolol.
DB00531	DB06176	15	The therapeutic efficacy of (R)-warfarin can be increased when used in combination with Cyclophosphamide.
DB00531	DB06704	15	The therapeutic efficacy of (R)-warfarin can be increased when used in combination with Cyclophosphamide.
DB00611	DB00366	16	The risk or severity of adverse effects can be increased when Butorphanol is combined with 1,2-Benzodiazepine.
DB00807	DB06204	16	The risk or severity of methemoglobinemia can be increased when 10-hydroxycamptothecin is combined with Proparacaine.
DB00903	DB00728	17	The protein binding of (R)-warfarin can be decreased when combined with Etacrynic acid.
DB00695	DB00565	17	1-benzylimidazole may decrease the antihypertensive activities of Furosemide.
DB01390	DB06701	18	The serum concentration of 2,5-Dimethoxy-4-ethylamphetamine can be increased when it is combined with Sodium bicarbonate.
DB00927	DB00422	18	The metabolism of (R)-warfarin can be decreased when combined with Famotidine.
DB00248	DB01193	19	The serum concentration of (R)-warfarin can be increased when it is combined with Cabergoline.
DB00589	DB00696	19	The risk or severity of adverse effects can be increased when Lisuride is combined with (R)-warfarin.
