orderId,drugbankId,name,category,chemicalFormula,smiles,description,relatedDrugs
0,DB04571,Trioxsalen,Small Molecule,C14H12O3,CC1=CC2=CC3=C(OC(=O)C=C3C)C(C)=C2O1,"Trioxsalen (trimethylpsoralen, trioxysalen or trisoralen) is a furanocoumarin and a psoralen derivative obtained from several plants, mainly Psoralea corylifolia. Like other psoralens it causes photosensitization of the skin. It is administered either topically or orally in conjunction with UV-A (the least damaging form of ultraviolet light) for phototherapy treatment of vitiligo and hand eczema. The photoactivated form produces interstrand linkages in DNA resulting in cell apoptosis. In research it can be conjugated to dyes for confocal microscopy and used to visualize sites of DNA damage.[3] The compound is has been explored for development of antisense oligonucleotides that can be cross-linked specifically to a mutant mRNA sequence without affecting normal transcripts differing at even a single base pair.","['DrugA', 'DrugB', 'DrugC']"
1,DB00460,Verteporfin,Small Molecule,,,"Verteporfin, marketed as Visudyne, is a benzoporphyrin derivative comprising a 50:50 mixture of two isomers: CL-315555 and CL-315585. It is used as a photosensitizer in photodynamic therapy to eliminate abnormal blood vessels in wet form macular degeneration. Verteporfin accumulates in these abnormal blood vessels and, when stimulated by nonthermal red light with a wavelength of 693 nm in the presence of oxygen, produces highly reactive short-lived singlet oxygen and other reactive oxygen radicals, resulting in local damage to the endothelium and blockage of the vessels.","['DrugA', 'DrugB', 'DrugC']"
2,DB00855,Aminolevulinic acid,Small Molecule,C5H9NO3,NCC(=O)CCC(O)=O,A compound produced from succinyl-CoA and glycine as an intermediate in heme synthesis. It is used as a photochemotherapy for actinic keratosis. [PubChem],"['DrugA', 'DrugB', 'DrugC']"
3,DB09536,Titanium dioxide,Small Molecule,O2Ti,O=[Ti]=O,"Titanium dioxide, also known as titanium(IV) oxide or titania, is the naturally occurring oxide of titanium. It is used as a pigment under the names titanium white, Pigment White 6 (PW6), or CI 77891. It is typically extracted from ilmenite, rutile and anatase.","['DrugA', 'DrugB', 'DrugC']"
4,DB01600,Tiaprofenic acid,Small Molecule,C14H12O3S,CC(C(O)=O)C1=CC=C(S1)C(=O)C1=CC=CC=C1,"Tiaprofenic acid is a non-steroidal anti-inflammatory drug employed in the treatment of pain, particularly arthritis pain. It belongs to the arylpropionic acid (profen) group of nonsteroidal anti-inflammatory drugs (NSAIDs).","['DrugA', 'DrugB', 'DrugC']"
5,DB09000,Cyamemazine,Small Molecule,C19H21N3S,CC(CN(C)C)CN1C2=CC=CC=C2SC2=C1C=C(C=C2)C#N,"Cyamemazine (Tercian), also known as cyamepromazine, is a typical antipsychotic drug of the phenothiazine class used primarily in the treatment of schizophrenia and psychosis-associated anxiety. Cyamemazine actually behaves like an atypical antipsychotic, due to its potent anxiolytic effects (5-HT2C) and lack of extrapyramidal side effects (5-HT2A).","['DrugA', 'DrugB', 'DrugC']"
6,DB11630,Temoporfin,Small Molecule,C44H32N4O4,OC1=CC=CC(=C1)C-1=C2\CCC(=N2)\C(=C2/N\C(\C=C2)=C(/C2=N/C(/C=C2)=C(\C2=CC=C\-1N2)C1=CC(O)=CC=C1)C1=CC(O)=CC=C1)\C1=CC(O)=CC=C1,Temoporfin is a photosensitizing agent used in the treatment of squamous cell carcinoma of the head and neck Label. It was first authorized for market by the European Medicines Agency in October 2001. It is currently available under the brand name Foscan.,"['DrugA', 'DrugB', 'DrugC']"
7,DB00553,Methoxsalen,Small Molecule,C12H8O4,COC1=C2OC(=O)C=CC2=CC2=C1OC=C2,"A naturally occurring furocoumarin compound found in several species of plants, including Psoralea corylifolia. It is a photoactive substance that forms DNA adducts in the presence of ultraviolet A irradiation.","['DrugA', 'DrugB', 'DrugC']"
8,DB06261,Hexaminolevulinate,Small Molecule,C11H21NO3,[H]N([H])CC(=O)CCC(=O)OCCCCCC,"Hexaminolevulinate is an optical imaging drug. In solution form it is instilled intravesically for use with photodynamic blue light cystoscopy as an adjunct to white light cystoscopy. On May 28, 2010, the U.S. Food and Drug Administration (FDA) granted approval for hexaminolevulinate hydrochloride (Cysview for Intravesical Solution, Photocure ASA), as an optical imaging agent for use in combination with the Karl Storz Photodynamic Diagnostic D-Light C (PDD) System for cystoscopic detection of non-muscle invasive papillary cancer of the bladder for patients suspected or known to have lesion(s) on the basis of a prior cystoscopy. Hexaminolevulinate is manufactured under the brand Cysview® by Photocure ASA. In Europe, Hexaminolevulinate is marketed under the brand Hexvix®.","['DrugA', 'DrugB', 'DrugC']"
9,DB01878,Benzophenone,Small Molecule,C13H10O,O=C(C1=CC=CC=C1)C1=CC=CC=C1,Benzophenone is the organic compound. Substituted benzophenones such as oxybenzone and dioxybenzone are used in sunscreen.,"['DrugA', 'DrugB', 'DrugC']"
10,DB00140,Riboflavin,Small Molecule,C17H20N4O6,CC1=C(C)C=C2N(C[C@H](O)[C@H](O)[C@H](O)CO)C3=NC(=O)NC(=O)C3=NC2=C1,"Nutritional factor found in milk, eggs, malted barley, liver, kidney, heart, and leafy vegetables. The richest natural source is yeast. It occurs in the free form only in the retina of the eye, in whey, and in urine; its principal forms in tissues and cells are as flavin mononucleotide and flavin-adenine dinucleotide.","['DrugA', 'DrugB', 'DrugC']"
